Date,Close
2024-01-02,150.10
2024-01-03,151.42
2024-01-04,150.87
2024-01-05,152.30
2024-01-08,153.14
2024-01-09,152.76
2024-01-10,153.89
2024-01-11,154.22
2024-01-12,155.31
2024-01-16,154.67
2024-01-17,155.83
2024-01-18,156.21
2024-01-19,155.74
2024-01-22,156.98
2024-01-23,157.64
2024-01-24,158.02
2024-01-25,157.11
2024-01-26,158.34
2024-01-29,159.78
2024-01-30,160.45
2024-01-31,161.12
2024-02-01,161.98
2024-02-02,162.44
2024-02-05,161.67
2024-02-06,162.89
2024-02-07,163.45
2024-02-08,164.02
2024-02-09,165.18
2024-02-12,164.73
2024-02-13,165.91
2024-02-14,166.27
2024-02-15,167.12
2024-02-16,168.05
2024-02-20,167.68
2024-02-21,168.94
2024-02-22,169.36
2024-02-23,170.52
2024-02-26,171.03
2024-02-27,170.58
2024-02-28,171.74
2024-02-29,172.39
2024-03-01,173.05
2024-03-04,172.58
2024-03-05,171.92
2024-03-06,172.47
2024-03-07,173.61
2024-03-08,174.26
2024-03-11,175.42
2024-03-12,176.09
2024-03-13,177.26
